,GCSE and below,A-level,University
Feb '14',0.522458,0.5351187,0.5425233
May '14',0.5041552,0.5192512,0.5137593
Sep '14',0.5450686,0.5594481,0.5468001
Mar '15',0.5430783,0.5382083,0.5257778
May '15',0.5050513,0.5281548,0.497005
Apr '16',0.5542124,0.5546327,0.5655136
May '16',0.5070271,0.5214588,0.5335928
Jun '16',0.5835638,0.5152846,0.4873821
Nov '16',0.5198205,0.4929167,0.4697168
Apr '17',0.5748166,0.5277592,0.5099163
Jun '17',0.5324697,0.4867779,0.4832947
Mar '19',0.396292,0.3769289,0.3536237
May '19',0.3522012,0.3547284,0.3340634
Nov '19',0.3165747,0.3154848,0.3066571
Jun '20',0.5419959,0.4748196,0.4097769